"","make","model","anzahl","standzeit_avg","zip_code","preis_avg","preis_max","preis_min","customer_type"
"1","74","2084",2,34,"12247",23452,23990,16990,"D"
"2","74","2084",10,111,"12524",21460,24450,15888,"D"
"3","74","2084",1,21,"10551",379,379,379,"D"
"4","74","2084",1,48,"13055",22900,22900,22900,"D"
"5","74","2084",4,19,"13086",20490,21900,19700,"D"
"6","74","2084",30,96,"13088",20492,27750,15335,"D"
"7","74","2084",5,87,"10245",18344,18950,17950,"D"
"8","74","2084",10,101,"13599",18049,20450,14950,"D"
"9","74","2084",1,1,"10117",19990,19990,19990,"D"
"10","74","2084",2,114,"10317",19862,21980,18950,"D"
"11","74","2084",6,71,"13189",22724,24490,18890,"D"
"12","74","2084",3,22,"13403",14712,16690,14490,"D"
"13","74","2084",1,137,"13435",28188,29900,26989,"D"
"14","74","2084",3,105,"10999",19921,21900,18400,"D"
"15","74","2084",22,67,"10709",21028,25888,14950,"D"
"16","74","2084",1,137,"14059",22990,23994,21349,"D"
"17","74","2084",3,23,"13187",26216,26850,24850,"D"
"18","74","2084",51,86,"14167",20885,37800,14800,"D"
"19","74","2084",28,95,"12681",19837,33889,13889,"D"
"20","74","2084",1,36,"13589",17916,18999,16999,"D"
"21","74","2084",8,101,"12105",16904,18444,15444,"D"
"22","74","2084",11,49,"13509",17599,20460,14280,"D"
"23","74","2084",1,65,"10777",18700,18700,18700,"P"
"24","74","2084",82,76,"10587",21347,41390,14690,"D"
"25","74","2084",23,74,"12099",24175,34770,16440,"D"
"26","74","2084",4,78,"13581",17332,18990,14950,"D"
"27","74","2084",1,8,"12555",19600,19600,19600,"D"
